id,govded_id/id,range_from,range_to,salary_credit,ee_premium,er_premium,ec_premium
sss2022_01,govded_07_2022,-9999999.00,3250.00,3000.00,135.00,255.00,10.00
sss2022_02,govded_07_2022,3250.00,3750.00,3500.00,157.50,297.50,10.00
sss2022_03,govded_07_2022,3750.00,4250.00,4000.00,180.00,340.00,10.00
sss2022_04,govded_07_2022,4250.00,4750.00,4500.00,202.50,382.50,10.00
sss2022_05,govded_07_2022,4750.00,5250.00,5000.00,225.00,425.00,10.00
sss2022_06,govded_07_2022,5250.00,5750.00,5500.00,247.50,467.50,10.00
sss2022_07,govded_07_2022,5750.00,6250.00,6000.00,270.00,510.00,10.00
sss2022_08,govded_07_2022,6250.00,6750.00,6500.00,292.50,552.50,10.00
sss2022_10,govded_07_2022,6750.00,7250.00,7000.00,315.00,595.00,10.00
sss2022_11,govded_07_2022,7250.00,7750.00,7500.00,337.50,637.50,10.00
sss2022_12,govded_07_2022,7750.00,8250.00,8000.00,360.00,680.00,10.00
sss2022_13,govded_07_2022,8250.00,8750.00,8500.00,382.50,722.50,10.00
sss2022_14,govded_07_2022,8750.00,9250.00,9000.00,405.00,765.00,10.00
sss2022_15,govded_07_2022,9250.00,9750.00,9500.00,427.50,807.50,10.00
sss2022_16,govded_07_2022,9750.00,10250.00,10000.00,450.00,850.00,10.00
sss2022_18,govded_07_2022,10250.00,10750.00,10500.00,472.50,892.50,10.00
sss2022_19,govded_07_2022,10750.00,11250.00,11000.00,495.00,935.00,10.00
sss2022_20,govded_07_2022,11250.00,11750.00,11500.00,517.50,977.50,10.00
sss2022_21,govded_07_2022,11750.00,12250.00,12000.00,540.00,1020.00,10.00
sss2022_22,govded_07_2022,12250.00,12750.00,12500.00,562.50,1062.50,10.00
sss2022_23,govded_07_2022,12750.00,13250.00,13000.00,585.00,1105.00,10.00
sss2022_24,govded_07_2022,13250.00,13750.00,13500.00,607.50,1147.50,10.00
sss2022_25,govded_07_2022,13750.00,14250.00,14000.00,630.00,1190.00,10.00
sss2022_26,govded_07_2022,14250.00,14750.00,14500.00,652.50,1232.50,10.00
sss2022_27,govded_07_2022,14750.00,15250.00,15000.00,675.00,1275.00,30.00
sss2022_28,govded_07_2022,15250.00,15750.00,15500.00,697.50,1317.50,30.00
sss2022_29,govded_07_2022,15750.00,16250.00,16000.00,720.00,1360.00,30.00
sss2022_30,govded_07_2022,16250.00,16750.00,16500.00,742.50,1402.50,30.00
sss2022_31,govded_07_2022,16750.00,17250.00,17000.00,765.00,1445.00,30.00
sss2022_32,govded_07_2022,17250.00,17750.00,17500.00,787.50,1487.50,30.00
sss2022_33,govded_07_2022,17750.00,18250.00,18000.00,810.00,1530.00,30.00
sss2022_34,govded_07_2022,18250.00,18750.00,18500.00,832.50,1572.50,30.00
sss2022_35,govded_07_2022,18750.00,19250.00,19000.00,855.00,1615.00,30.00
sss2022_36,govded_07_2022,19250.00,19750.00,19500.00,877.50,1657.50,30.00
sss2022_37,govded_07_2022,19750.00,20250.00,20000.00,900.00,1700.00,30.00
sss2022_38,govded_07_2022,20250.00,20750.00,20000.00,922.50,1742.50,30.00,
sss2022_39,govded_07_2022,20750.00,21250.00,20000.00,945.00,1785.00,30.00
sss2022_40,govded_07_2022,21250.00,21750.00,20000.00,967.50,1827.50,30.00
sss2022_41,govded_07_2022,21750.00,22250.00,20000.00,990.00,1870.00,30.00
sss2022_42,govded_07_2022,22250.00,22750.00,20000.00,1012.50,1912.50,30.00
sss2022_43,govded_07_2022,22750.00,23250.00,20000.00,1035.00,1955.00,30.00
sss2022_44,govded_07_2022,23250.00,23750.00,20000.00,1057.50,1997.50,30.00
sss2022_45,govded_07_2022,23750.00,24250.00,20000.00,1080.00,2040.00,30.00
sss2022_46,govded_07_2022,24250.00,24750.00,20000.00,1102.50,2082.50,30.00
sss2022_47,govded_07_2022,24750.00,9999999.00,20000.00,1125.00,2125.00,30.00